일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,교통량
2018-01-01,제주시,일도2동,721304.848,31018.811,252537.94,1004861.6,29.727,38.273,2.9,0,2.4,574.818
2018-01-01,서귀포시,영천동,85615.511,8013.388,97996.18,191625.079,41.261,18.087,4.9,0,1.9,0
2018-01-01,서귀포시,예래동,68746.872,20716.569,210986.838,300450.279,47.467,48.633,3.95,0,3.05,211.767
2018-01-01,서귀포시,성산읍,291984.7,20382.502,378011.935,690379.138,48.217,55.696,4.8,0,3.1,0
2018-01-01,제주시,봉개동,76694.36,7398.681,101132.897,185225.938,35.909,56.273,0.8,0,2.6,0
2018-01-01,서귀포시,대륜동,267671.778,20177.907,212778.579,500628.264,39.185,33.63,4.9,0,1.9,0
2018-01-01,제주시,연동,1075224.629,93029.133,495901.218,1664154.98,40,35.302,-2.3,0,1.1,595.321
2018-01-01,제주시,삼도1동,220142.977,12879.914,137055.81,370078.702,29.25,26.875,2.9,0,2.4,0
2018-01-01,제주시,삼도2동,107594.515,9755.741,139068.314,256418.57,31.333,14,2.9,0,2.4,0
2018-01-01,제주시,애월읍,770377.449,55785.154,570884.457,1397047.06,52.337,52.902,-2.425,0,3.833,112.598
2018-01-01,제주시,삼양동,459244.768,11294.057,110523.367,581062.191,33.714,15.571,1.967,0,3.367,525
2018-01-01,제주시,아라동,756175.984,42382.861,251745.135,1050303.98,40.444,56.519,-0.633,0,1.733,1172
2018-01-02,서귀포시,동홍동,384966.285,36746.627,166627.755,588340.667,39.571,31.476,7.2,0,1.6,0
2018-01-02,제주시,이호동,69835.852,7566.675,68212.73,145615.257,26,22.333,6,0,2.1,0
2018-01-02,서귀포시,중문동,167473.708,15602.059,114617.886,297693.654,49.722,42.222,0,0,1.9,0
2018-01-02,제주시,건입동,166314.614,26391.276,163786.671,356492.561,32,46.6,1,0,1.5,471.2
2018-01-02,제주시,연동,1084870.416,146199.731,542476.851,1773546.998,37.547,38.698,-0.4,0,0.6,736.434
2018-01-02,제주시,용담2동,239448.06,54355.431,286167.631,579971.121,28.636,30.455,3.8,0,2.7,1024.273
